권역,지역,33부문,부문명,3부문,old_33부문,new_3부문및지역
수입계,수입계,C13,기타 제조업 제품,공산품,576,11
수입계,수입계,C14,제조임가공 및 산업용 장비 수리,공산품,577,11
수입계,수입계,D,"전력, 가스 및 증기",서비스,578,12
수입계,수입계,E,"수도, 폐기물처리 및 재활용서비스",서비스,579,12
수입계,수입계,F,건설,서비스,580,12
수입계,수입계,G,도소매 및 상품중개서비스,서비스,581,12
수입계,수입계,H,운송서비스,서비스,582,12
수입계,수입계,I,음식점 및 숙박서비스,서비스,583,12
수입계,수입계,J,정보통신 및 방송 서비스,서비스,584,12
수입계,수입계,K,금융 및 보험 서비스,서비스,585,12
수입계,수입계,L,부동산서비스,서비스,586,12
수입계,수입계,M,"전문, 과학 및 기술 서비스",서비스,587,12
수입계,수입계,N,사업지원서비스,서비스,588,12
수입계,수입계,O,"공공행정, 국방 및 사회보장",서비스,589,12
수입계,수입계,P,교육서비스,서비스,590,12
수입계,수입계,Q,보건 및 사회복지 서비스,서비스,591,12
수입계,수입계,R,"예술, 스포츠 및 여가 관련 서비스",서비스,592,12
수입계,수입계,S,기타 서비스,서비스,593,12
수입계,수입계,T,기타,서비스,594,12
