cons,old,new
CMR_H49,657,9
CMR_H50,658,9
CMR_H51,659,9
CMR_H52,660,9
CMR_H53,661,9
CMR_I,662,9
CMR_J58T60,663,9
CMR_J61,664,9
CMR_J62_63,665,9
CMR_K,666,9
CMR_L,667,9
CMR_M,668,9
CMR_N,669,9
CMR_O,670,9
CMR_P,671,9
CMR_Q,672,9
CMR_R,673,9
CMR_S,674,9
CMR_T,675,9
COL_A01_02,676,7
COL_A03,677,7
COL_B05_06,678,8
COL_B07_08,679,8
COL_B09,680,8
COL_C10T12,681,8
COL_C13T15,682,8
COL_C16,683,8
COL_C17_18,684,8
COL_C19,685,8
COL_C20,686,8
COL_C21,687,8
COL_C22,688,8
COL_C23,689,8
COL_C24,690,8
COL_C25,691,8
COL_C26,692,8
COL_C27,693,8
COL_C28,694,8
COL_C29,695,8
COL_C30,696,8
COL_C31T33,697,8
COL_D,698,9
COL_E,699,9
COL_F,700,9
COL_G,701,9
COL_H49,702,9
COL_H50,703,9
COL_H51,704,9
COL_H52,705,9
COL_H53,706,9
COL_I,707,9
COL_J58T60,708,9
COL_J61,709,9
COL_J62_63,710,9
COL_K,711,9
COL_L,712,9
COL_M,713,9
COL_N,714,9
COL_O,715,9
COL_P,716,9
COL_Q,717,9
COL_R,718,9
COL_S,719,9
COL_T,720,9
CRI_A01_02,721,7
CRI_A03,722,7
CRI_B05_06,723,8
CRI_B07_08,724,8
CRI_B09,725,8
CRI_C10T12,726,8
CRI_C13T15,727,8
CRI_C16,728,8
CRI_C17_18,729,8
CRI_C19,730,8
CRI_C20,731,8
CRI_C21,732,8
CRI_C22,733,8
CRI_C23,734,8
CRI_C24,735,8
CRI_C25,736,8
CRI_C26,737,8
CRI_C27,738,8
CRI_C28,739,8
CRI_C29,740,8
CRI_C30,741,8
CRI_C31T33,742,8
CRI_D,743,9
CRI_E,744,9
CRI_F,745,9
CRI_G,746,9
CRI_H49,747,9
CRI_H50,748,9
CRI_H51,749,9
CRI_H52,750,9
CRI_H53,751,9
CRI_I,752,9
CRI_J58T60,753,9
CRI_J61,754,9
CRI_J62_63,755,9
CRI_K,756,9
CRI_L,757,9
CRI_M,758,9
CRI_N,759,9
CRI_O,760,9
CRI_P,761,9
CRI_Q,762,9
CRI_R,763,9
CRI_S,764,9
CRI_T,765,9
CYP_A01_02,766,7
CYP_A03,767,7
CYP_B05_06,768,8
CYP_B07_08,769,8
CYP_B09,770,8
CYP_C10T12,771,8
CYP_C13T15,772,8
CYP_C16,773,8
CYP_C17_18,774,8
CYP_C19,775,8
CYP_C20,776,8
CYP_C21,777,8
CYP_C22,778,8
CYP_C23,779,8
CYP_C24,780,8
CYP_C25,781,8
CYP_C26,782,8
CYP_C27,783,8
CYP_C28,784,8
CYP_C29,785,8
CYP_C30,786,8
CYP_C31T33,787,8
CYP_D,788,9
CYP_E,789,9
CYP_F,790,9
CYP_G,791,9
CYP_H49,792,9
CYP_H50,793,9
CYP_H51,794,9
CYP_H52,795,9
CYP_H53,796,9
CYP_I,797,9
CYP_J58T60,798,9
CYP_J61,799,9
CYP_J62_63,800,9
CYP_K,801,9
CYP_L,802,9
CYP_M,803,9
CYP_N,804,9
CYP_O,805,9
CYP_P,806,9
CYP_Q,807,9
CYP_R,808,9
CYP_S,809,9
CYP_T,810,9
CZE_A01_02,811,7
CZE_A03,812,7
CZE_B05_06,813,8
CZE_B07_08,814,8
CZE_B09,815,8
CZE_C10T12,816,8
CZE_C13T15,817,8
CZE_C16,818,8
